# Theme coverage ratchet baseline.
#
# Each line is one color-kind paint declaration referencing a custom
# property whose resolution chain does not reach a public token (the
# --wuu-* contract set). Lines are deterministic: sorted by file, then
# variable, then property, then line.
#
# Reduction owner: U3 (first-layer derivation batch).
# Priority order: workspace.css -> turns.css -> sidebar.css -> settings.css
# -> composer.css / conversation-shell.css -> channels.css -> environment.css
# -> image-preview.css -> remaining files.
#
# Exact-match ratchet: computed violations must equal this file exactly.
# - A new unbridged color surface adds lines: bridge it and update the
#   baseline in the same commit.
# - Bridging a variable removes its lines: delete them here in the same
#   commit (stale lines fail the test, so the baseline cannot rot silently).
# The only sanctioned bridge form:
#   prop: var(--wuu-slot, var(--private-fallback))
#
# Format: file:line property variable
sidebar.css:1583 background --sidebar-thread-child-agent-active-bg
sidebar.css:1585 box-shadow --sidebar-thread-child-agent-active-ring
sidebar.css:1595 color --sidebar-thread-child-agent-branch-color
sidebar.css:1631 color --sidebar-thread-child-agent-cancelled-status
sidebar.css:1579 box-shadow --sidebar-thread-child-agent-focus-shadow
sidebar.css:1573 background --sidebar-thread-child-agent-hover-bg
sidebar.css:1589 background --sidebar-thread-child-agent-pending-bg
sidebar.css:1546 background --sidebar-thread-child-agent-separator
sidebar.css:1421 background --sidebar-thread-list-button-hover-bg
sidebar.css:1449 background --sidebar-thread-list-button-hover-bg
sidebar.css:1515 border-top-color --sidebar-thread-spinner-notch
task-board.css:84 background --ink-overlay-4
task-board.css:136 background --ink-overlay-4
turns.css:2118 border-left --activity-detail-error-border
turns.css:3150 border-color --danger-border
turns.css:634 background --danger-soft
turns.css:1384 background --danger-soft
turns.css:3151 background --danger-soft
turns.css:4302 background --diff-delete-bg
turns.css:4294 background --diff-insert-bg
turns.css:1038 background --env-tone-deferred
turns.css:1028 background --env-tone-dynamic
turns.css:1013 background --env-tone-stable
turns.css:1008 background --env-tone-system
turns.css:1023 background --env-tone-tail
turns.css:1033 background --env-tone-tools
turns.css:1018 background --env-tone-turn
turns.css:3024 background --fork-worktree-copy-bg
turns.css:701 border --ink-overlay-12
turns.css:721 border --ink-overlay-12
turns.css:759 border --ink-overlay-12
turns.css:620 box-shadow --ink-overlay-12
turns.css:763 box-shadow --ink-overlay-12
turns.css:4210 box-shadow --ink-overlay-12
turns.css:166 background --ink-overlay-18
turns.css:1003 background --ink-overlay-18
turns.css:1096 background --ink-overlay-18
turns.css:3087 border-left --ink-overlay-18
turns.css:444 box-shadow --ink-overlay-18
turns.css:1192 box-shadow --ink-overlay-18
turns.css:4393 box-shadow --ink-overlay-18
turns.css:2252 text-decoration-color --ink-overlay-18
turns.css:3234 text-decoration-color --ink-overlay-18
turns.css:1187 background --ink-overlay-4
turns.css:1238 background --ink-overlay-4
turns.css:2902 background --ink-overlay-4
turns.css:996 background --ink-overlay-6
turns.css:1115 background --ink-overlay-6
turns.css:2748 border --ink-overlay-6
turns.css:2781 border --ink-overlay-6
turns.css:847 border-bottom --ink-overlay-6
turns.css:835 border --ink-overlay-8
turns.css:883 border --ink-overlay-8
turns.css:2993 border --ink-overlay-8
turns.css:579 box-shadow --ink-overlay-8
turns.css:598 box-shadow --ink-overlay-8
turns.css:4332 box-shadow --ink-overlay-8
turns.css:599 background --message-copy-bg
turns.css:629 background --message-copy-bg
turns.css:723 background --message-file-bg
turns.css:3996 background --project-empty-actions-hover-bg
turns.css:1461 background --stream-cursor-color
turns.css:1573 background --turn-progress-failed-rule-bg
turns.css:1564 color --turn-progress-sweep-base
turns.css:4614 color --turn-source-icon-color-fallback
turns.css:4653 color --turn-source-icon-color-fallback
turns.css:4679 color --turn-source-icon-color-fallback
turns.css:4716 color --turn-source-icon-color-fallback
turns.css:4629 box-shadow --turn-source-icon-hover-shadow
turns.css:4492 background --turn-sources-pill-bg-fallback
turns.css:4516 background --turn-sources-pill-bg-fallback
turns.css:4542 background --turn-sources-pill-bg-fallback
turns.css:4678 background --turn-sources-pill-bg-fallback
turns.css:4722 background --turn-sources-pill-bg-fallback
turns.css:4493 border --turn-sources-pill-border-fallback
turns.css:4703 border --turn-sources-pill-border-fallback
turns.css:4517 border-color --turn-sources-pill-border-fallback
turns.css:4496 color --turn-sources-pill-color-fallback
turns.css:4518 color --turn-sources-pill-color-fallback
turns.css:4739 color --turn-sources-pill-color-fallback
turns.css:334 background --user-message-jump-flash-bg
turns.css:349 background --user-message-jump-flash-bg
turns.css:331 box-shadow --user-message-jump-shadow-0
turns.css:341 box-shadow --user-message-jump-shadow-0
turns.css:335 box-shadow --user-message-jump-shadow-08
turns.css:335 box-shadow --user-message-jump-shadow-18
turns.css:350 box-shadow --user-message-jump-shadow-18
turns.css:3713 background --wuu-launch-sweep-highlight
workbench.css:457 background --gray-0
workbench.css:431 background --gray-350
workbench.css:384 border-color --gray-350
workbench.css:236 background --gray-900
workbench.css:254 background --gray-900
workbench.css:452 background --gray-900
workbench.css:329 box-shadow --ink-overlay-12
workbench.css:465 box-shadow --ink-overlay-12
workbench.css:447 box-shadow --ink-overlay-18
workbench.css:461 box-shadow --ink-overlay-6
workbench.css:386 box-shadow --ink-overlay-8
workspace-pdf-preview.css:104 background-color --pdf-page-bg
workspace-pdf-preview.css:105 box-shadow --pdf-page-shadow
workspace.css:2046 box-shadow --browser-error-shadow
workspace.css:2072 background --browser-retry-hover-bg
workspace.css:2027 background --browser-status-overlay-bg
workspace.css:1953 box-shadow --browser-url-error-ring
workspace.css:4651 background --codex-effort-sheen
workspace.css:4651 background --codex-effort-sheen-soft
workspace.css:2043 border --danger-border
workspace.css:1952 border-color --danger-border
workspace.css:2323 background --danger-soft
workspace.css:2500 background --danger-soft
workspace.css:2551 background --danger-soft
workspace.css:2749 background --danger-soft
workspace.css:3876 background --danger-soft
workspace.css:3946 background --danger-soft
workspace.css:4022 background --diff-add-bg
workspace.css:3871 background --diff-added-bg
workspace.css:4027 background --diff-delete-bg
workspace.css:3945 border-bottom --diff-error-border
workspace.css:3882 background --diff-renamed-bg
workspace.css:3863 background --diff-status-bg
workspace.css:3864 color --diff-status-fg
workspace.css:3958 border-top --diff-truncated-border
workspace.css:1413 border --ink-overlay-12
workspace.css:578 box-shadow --ink-overlay-12
workspace.css:3181 box-shadow --ink-overlay-12
workspace.css:4603 box-shadow --ink-overlay-12
workspace.css:4619 box-shadow --ink-overlay-18
workspace.css:4962 box-shadow --ink-overlay-18
workspace.css:673 background --ink-overlay-4
workspace.css:1438 background --ink-overlay-4
workspace.css:4316 box-shadow --ink-overlay-4
workspace.css:3170 background --ink-overlay-6
workspace.css:4572 background --ink-overlay-6
workspace.css:4037 border-right --ink-overlay-6
workspace.css:1415 box-shadow --ink-overlay-6
workspace.css:4619 box-shadow --ink-overlay-6
workspace.css:690 background --ink-overlay-8
workspace.css:1415 box-shadow --ink-overlay-8
workspace.css:4576 box-shadow --ink-overlay-8
workspace.css:4361 background --review-overlay-bg
workspace.css:4315 background --review-resizer-hover-bg
workspace.css:1869 background-color --scrollbar-thin-thumb
workspace.css:3634 background --scrollbar-thumb
workspace.css:3642 background --scrollbar-thumb-active
workspace.css:1877 background-color --scrollbar-thumb-active
workspace.css:3638 background --scrollbar-thumb-hover
workspace.css:1873 background-color --scrollbar-thumb-hover
workspace.css:3624 background --scrollbar-track-bg
workspace.css:877 background --sidebar-resizer-hover-bg
workspace.css:1539 background --sidebar-resizer-hover-bg
workspace.css:4863 background --sidebar-resizer-hover-bg
workspace.css:878 box-shadow --sidebar-resizer-hover-ring
workspace.css:1540 box-shadow --sidebar-resizer-hover-ring
workspace.css:4864 box-shadow --sidebar-resizer-hover-ring
workspace.css:2772 box-shadow --skill-artwork-shadow
workspace.css:2933 fill --skill-mark-highlight
workspace.css:2983 background --skill-tag-bundled-bg
workspace.css:2984 color --skill-tag-bundled-fg
workspace.css:4946 background --split-composer-bg
workspace.css:4957 box-shadow --split-composer-shadow
workspace.css:4962 box-shadow --split-composer-shadow
workspace.css:4891 background --split-header-bg
workspace.css:2490 background --success-soft
workspace.css:2739 background --success-soft
workspace.css:2042 background --warning-soft
workspace.css:2495 background --warning-soft
workspace.css:2543 background --warning-soft
workspace.css:2664 background --warning-soft
workspace.css:2744 background --warning-soft
workspace.css:3960 background --warning-soft
workspace.css:1234 background --workspace-menu-item-hover-bg
workspace.css:1893 background --workspace-terminal-restart-hover-bg
